,subtitleNullable,creatorNameNullable,creatorUrlNullable,totalBytesNullable,urlNullable,licenseNameNullable,descriptionNullable,ownerNameNullable,ownerRefNullable,titleNullable,currentVersionNumberNullable,usabilityRatingNullable,id,ref,subtitle,hasSubtitle,creatorName,hasCreatorName,creatorUrl,hasCreatorUrl,totalBytes,hasTotalBytes,url,hasUrl,lastUpdated,downloadCount,isPrivate,isFeatured,licenseName,hasLicenseName,description,hasDescription,ownerName,hasOwnerName,ownerRef,hasOwnerRef,kernelCount,title,hasTitle,topicCount,viewCount,voteCount,currentVersionNumber,hasCurrentVersionNumber,usabilityRating,hasUsabilityRating,tags,files,versions
0,High rated book information in the field of computer science and programing,Thomas Konstantin,thomaskonstantin,46442.0,https://www.kaggle.com/datasets/thomaskonstantin/top-270-rated-computer-science-programing-books,CC0: Public Domain,,Thomas Konstantin,thomaskonstantin,Top 270 Computer Science / Programing Books ,2,1.0,897783,thomaskonstantin/top-270-rated-computer-science-programing-books,High rated book information in the field of computer science and programing,True,Thomas Konstantin,True,thomaskonstantin,True,46442,True,https://www.kaggle.com/datasets/thomaskonstantin/top-270-rated-computer-science-programing-books,True,2021-01-11T10:13:41.333Z,3911,False,False,CC0: Public Domain,True,,False,Thomas Konstantin,True,thomaskonstantin,True,12,Top 270 Computer Science / Programing Books ,True,0,27926,93,2,True,1.0,True,"[{'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'programming', 'descriptionNullable': 'The programming tag contains datsets and kernels from coder surveys, revision histories, and bug triaging.', 'fullPathNullable': 'subject > science and technology > computer science > programming', 'ref': 'programming', 'name': 'programming', 'hasName': True, 'description': 'The programming tag contains datsets and kernels from coder surveys, revision histories, and bug triaging.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science > programming', 'hasFullPath': True, 'competitionCount': 1, 'datasetCount': 11479, 'scriptCount': 83455, 'totalCount': 94935}, {'nameNullable': 'retail and shopping', 'descriptionNullable': None, 'fullPathNullable': 'subject > people and society > people > retail and shopping', 'ref': 'retail and shopping', 'name': 'retail and shopping', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'subject > people and society > people > retail and shopping', 'hasFullPath': True, 'competitionCount': 6, 'datasetCount': 9951, 'scriptCount': 549, 'totalCount': 10506}]",[],[]
1,Insights into Career Aspirations and Technical Proficiency of CS Students,Rugved Patil,devildyno,3309.0,https://www.kaggle.com/datasets/devildyno/computer-science-students-career-prediction,CC BY-NC-SA 4.0,,Rugved Patil,devildyno,Computer Science Students Career Prediction,1,0.9411765,5399857,devildyno/computer-science-students-career-prediction,Insights into Career Aspirations and Technical Proficiency of CS Students,True,Rugved Patil,True,devildyno,True,3309,True,https://www.kaggle.com/datasets/devildyno/computer-science-students-career-prediction,True,2024-07-16T17:35:37.127Z,3038,False,False,CC BY-NC-SA 4.0,True,,False,Rugved Patil,True,devildyno,True,12,Computer Science Students Career Prediction,True,0,13814,51,1,True,0.9411765,True,"[{'nameNullable': 'education', 'descriptionNullable': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'fullPathNullable': 'subject > people and society > education', 'ref': 'education', 'name': 'education', 'hasName': True, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'hasDescription': True, 'fullPath': 'subject > people and society > education', 'hasFullPath': True, 'competitionCount': 37, 'datasetCount': 28789, 'scriptCount': 14937, 'totalCount': 43763}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'engineering', 'descriptionNullable': 'Engineering is the application of mathematics, science, economics, empirical evidence, social, and practical knowledge to invent, innovate, design, build, maintain, research, and improve structures, machines, tools, systems, components, materials, processes, solutions, and organizations.', 'fullPathNullable': 'subject > science and technology > engineering', 'ref': 'engineering', 'name': 'engineering', 'hasName': True, 'description': 'Engineering is the application of mathematics, science, economics, empirical evidence, social, and practical knowledge to invent, innovate, design, build, maintain, research, and improve structures, machines, tools, systems, components, materials, processes, solutions, and organizations.', 'hasDescription': True, 'fullPath': 'subject > science and technology > engineering', 'hasFullPath': True, 'competitionCount': 3, 'datasetCount': 391, 'scriptCount': 152, 'totalCount': 546}, {'nameNullable': 'exploratory data analysis', 'descriptionNullable': None, 'fullPathNullable': 'technique > exploratory data analysis', 'ref': 'exploratory data analysis', 'name': 'exploratory data analysis', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > exploratory data analysis', 'hasFullPath': True, 'competitionCount': 14, 'datasetCount': 4812, 'scriptCount': 32037, 'totalCount': 36863}, {'nameNullable': 'data visualization', 'descriptionNullable': 'The art of depicting data in a visual format. Using charts and graphs, it is easier to observe patterns, relationships, and outliers.', 'fullPathNullable': 'technique > data visualization', 'ref': 'data visualization', 'name': 'data visualization', 'hasName': True, 'description': 'The art of depicting data in a visual format. Using charts and graphs, it is easier to observe patterns, relationships, and outliers.', 'hasDescription': True, 'fullPath': 'technique > data visualization', 'hasFullPath': True, 'competitionCount': 14, 'datasetCount': 7003, 'scriptCount': 35555, 'totalCount': 42572}, {'nameNullable': 'data analytics', 'descriptionNullable': None, 'fullPathNullable': 'technique > data analytics', 'ref': 'data analytics', 'name': 'data analytics', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > data analytics', 'hasFullPath': True, 'competitionCount': 22, 'datasetCount': 7641, 'scriptCount': 13898, 'totalCount': 21561}]",[],[]
2,Teaching Computer Science ,Zeeshan-ul-hassan Usmani,zusmani,123389.0,https://www.kaggle.com/datasets/zusmani/pakistanintellectualcapitalcs,CC0: Public Domain,,Zeeshan-ul-hassan Usmani,zusmani,Pakistan Intellectual Capital ,3,0.9705882,7871,zusmani/pakistanintellectualcapitalcs,Teaching Computer Science ,True,Zeeshan-ul-hassan Usmani,True,zusmani,True,123389,True,https://www.kaggle.com/datasets/zusmani/pakistanintellectualcapitalcs,True,2021-05-28T10:09:51.57Z,2172,False,False,CC0: Public Domain,True,,False,Zeeshan-ul-hassan Usmani,True,zusmani,True,25,Pakistan Intellectual Capital ,True,0,26710,146,3,True,0.9705882,True,"[{'nameNullable': 'universities and colleges', 'descriptionNullable': 'This tag contains all kinds of information about which colleges are good and how much money people make after attending classes there.', 'fullPathNullable': 'subject > people and society > education > universities and colleges', 'ref': 'universities and colleges', 'name': 'universities and colleges', 'hasName': True, 'description': 'This tag contains all kinds of information about which colleges are good and how much money people make after attending classes there.', 'hasDescription': True, 'fullPath': 'subject > people and society > education > universities and colleges', 'hasFullPath': True, 'competitionCount': 0, 'datasetCount': 10027, 'scriptCount': 480, 'totalCount': 10507}, {'nameNullable': 'art', 'descriptionNullable': '', 'fullPathNullable': 'subject > arts and entertainment > art', 'ref': 'art', 'name': 'art', 'hasName': True, 'description': '', 'hasDescription': True, 'fullPath': 'subject > arts and entertainment > art', 'hasFullPath': True, 'competitionCount': 3, 'datasetCount': 3182, 'scriptCount': 10847, 'totalCount': 14032}, {'nameNullable': 'education', 'descriptionNullable': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'fullPathNullable': 'subject > people and society > education', 'ref': 'education', 'name': 'education', 'hasName': True, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'hasDescription': True, 'fullPath': 'subject > people and society > education', 'hasFullPath': True, 'competitionCount': 37, 'datasetCount': 28789, 'scriptCount': 14937, 'totalCount': 43763}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}]",[],[]
3,The complete information about books on amazon in a single dataset,Muhammad Uzair Khan,uzair01,30197.0,https://www.kaggle.com/datasets/uzair01/amazon-books,CC BY-NC-SA 4.0,,Muhammad Uzair Khan,uzair01,Amazon Books details for computer science,3,1.0,3782584,uzair01/amazon-books,The complete information about books on amazon in a single dataset,True,Muhammad Uzair Khan,True,uzair01,True,30197,True,https://www.kaggle.com/datasets/uzair01/amazon-books,True,2023-09-26T20:11:34.78Z,758,False,False,CC BY-NC-SA 4.0,True,,False,Muhammad Uzair Khan,True,uzair01,True,4,Amazon Books details for computer science,True,0,4362,45,3,True,1.0,True,"[{'nameNullable': 'literature', 'descriptionNullable': 'This tag is your digital library for varius copora such as Southern Literature, Paranormal Romance novels, and Urban Dictionary spelling variations.', 'fullPathNullable': 'subject > arts and entertainment > literature', 'ref': 'literature', 'name': 'literature', 'hasName': True, 'description': 'This tag is your digital library for varius copora such as Southern Literature, Paranormal Romance novels, and Urban Dictionary spelling variations.', 'hasDescription': True, 'fullPath': 'subject > arts and entertainment > literature', 'hasFullPath': True, 'competitionCount': 19, 'datasetCount': 4864, 'scriptCount': 476, 'totalCount': 5359}, {'nameNullable': 'categorical', 'descriptionNullable': 'Categorical data are observations that fall into discrete categories, like dog breed, dog color or whether or not a dog likes chew toys.', 'fullPathNullable': 'data type > categorical', 'ref': 'categorical', 'name': 'categorical', 'hasName': True, 'description': 'Categorical data are observations that fall into discrete categories, like dog breed, dog color or whether or not a dog likes chew toys.', 'hasDescription': True, 'fullPath': 'data type > categorical', 'hasFullPath': True, 'competitionCount': 29, 'datasetCount': 2560, 'scriptCount': 2298, 'totalCount': 4887}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'beginner', 'descriptionNullable': 'New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers.', 'fullPathNullable': 'audience > beginner', 'ref': 'beginner', 'name': 'beginner', 'hasName': True, 'description': 'New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers.', 'hasDescription': True, 'fullPath': 'audience > beginner', 'hasFullPath': True, 'competitionCount': 12628, 'datasetCount': 7852, 'scriptCount': 41540, 'totalCount': 62020}, {'nameNullable': 'data analytics', 'descriptionNullable': None, 'fullPathNullable': 'technique > data analytics', 'ref': 'data analytics', 'name': 'data analytics', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > data analytics', 'hasFullPath': True, 'competitionCount': 22, 'datasetCount': 7641, 'scriptCount': 13898, 'totalCount': 21561}]",[],[]
4,AP CS A Exam Pass Rates Across States,Esther Kim,ekim01,10410.0,https://www.kaggle.com/datasets/iceatgt/ap-computer-science-a-exam-dataset,Unknown,,Institute for Computing Education at Georgia Tech,organizations/iceatgt,AP Computer Science A Exam Dataset,1,0.7058824,362,iceatgt/ap-computer-science-a-exam-dataset,AP CS A Exam Pass Rates Across States,True,Esther Kim,True,ekim01,True,10410,True,https://www.kaggle.com/datasets/iceatgt/ap-computer-science-a-exam-dataset,True,2016-11-13T02:45:18.69Z,1446,False,False,Unknown,True,,False,Institute for Computing Education at Georgia Tech,True,organizations/iceatgt,True,10,AP Computer Science A Exam Dataset,True,0,17874,28,1,True,0.7058824,True,"[{'nameNullable': 'education', 'descriptionNullable': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'fullPathNullable': 'subject > people and society > education', 'ref': 'education', 'name': 'education', 'hasName': True, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'hasDescription': True, 'fullPath': 'subject > people and society > education', 'hasFullPath': True, 'competitionCount': 37, 'datasetCount': 28789, 'scriptCount': 14937, 'totalCount': 43763}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'standardized testing', 'descriptionNullable': None, 'fullPathNullable': 'subject > people and society > education > standardized testing', 'ref': 'standardized testing', 'name': 'standardized testing', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'subject > people and society > education > standardized testing', 'hasFullPath': True, 'competitionCount': 1, 'datasetCount': 9627, 'scriptCount': 428, 'totalCount': 10056}]",[],[]
5,Multifaceted Computer Science Students Data To Identify Depression Level,Md. Ismiel Hossen Abir,mdismielhossenabir,696.0,https://www.kaggle.com/datasets/mdismielhossenabir/psychosocial-dimensions-of-student-life,MIT,,Md. Ismiel Hossen Abir,mdismielhossenabir,Psychosocial Dimensions of Student Life,1,0.8235294,4292144,mdismielhossenabir/psychosocial-dimensions-of-student-life,Multifaceted Computer Science Students Data To Identify Depression Level,True,Md. Ismiel Hossen Abir,True,mdismielhossenabir,True,696,True,https://www.kaggle.com/datasets/mdismielhossenabir/psychosocial-dimensions-of-student-life,True,2024-01-11T16:11:38.657Z,2596,False,False,MIT,True,,False,Md. Ismiel Hossen Abir,True,mdismielhossenabir,True,7,Psychosocial Dimensions of Student Life,True,0,13136,102,1,True,0.8235294,True,"[{'nameNullable': 'education', 'descriptionNullable': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'fullPathNullable': 'subject > people and society > education', 'ref': 'education', 'name': 'education', 'hasName': True, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'hasDescription': True, 'fullPath': 'subject > people and society > education', 'hasFullPath': True, 'competitionCount': 37, 'datasetCount': 28789, 'scriptCount': 14937, 'totalCount': 43763}, {'nameNullable': 'psychology', 'descriptionNullable': ""Psychology is the study of how we use our brains (or don't) to interact with others. Humans are complicated and maybe data science can help us understand ourselves."", 'fullPathNullable': 'subject > people and society > social science > psychology', 'ref': 'psychology', 'name': 'psychology', 'hasName': True, 'description': ""Psychology is the study of how we use our brains (or don't) to interact with others. Humans are complicated and maybe data science can help us understand ourselves."", 'hasDescription': True, 'fullPath': 'subject > people and society > social science > psychology', 'hasFullPath': True, 'competitionCount': 1, 'datasetCount': 2638, 'scriptCount': 355, 'totalCount': 2994}, {'nameNullable': 'random forest', 'descriptionNullable': None, 'fullPathNullable': 'technique > random forest', 'ref': 'random forest', 'name': 'random forest', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > random forest', 'hasFullPath': True, 'competitionCount': 3, 'datasetCount': 322, 'scriptCount': 7120, 'totalCount': 7445}]",[],[]
6,A Comprehensive Collection of CS Theoretical Questions for Chatbot Training,Mujtaba Mateen,mujtabamatin,29925.0,https://www.kaggle.com/datasets/mujtabamatin/computer-science-theory-qa-dataset,Data files © Original Authors,,Mujtaba Mateen,mujtabamatin,Computer Science Theory QA Dataset ,1,0.9375,3097611,mujtabamatin/computer-science-theory-qa-dataset,A Comprehensive Collection of CS Theoretical Questions for Chatbot Training,True,Mujtaba Mateen,True,mujtabamatin,True,29925,True,https://www.kaggle.com/datasets/mujtabamatin/computer-science-theory-qa-dataset,True,2023-04-06T20:28:32.617Z,952,False,False,Data files © Original Authors,True,,False,Mujtaba Mateen,True,mujtabamatin,True,2,Computer Science Theory QA Dataset ,True,0,4484,12,1,True,0.9375,True,"[{'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'nlp', 'descriptionNullable': 'Natural Language Processing gives a computer program the ability to extract meaning human language. Applications include sentiment analysis, translation, and speech recognition.', 'fullPathNullable': 'analysis > nlp', 'ref': 'nlp', 'name': 'nlp', 'hasName': True, 'description': 'Natural Language Processing gives a computer program the ability to extract meaning human language. Applications include sentiment analysis, translation, and speech recognition.', 'hasDescription': True, 'fullPath': 'analysis > nlp', 'hasFullPath': True, 'competitionCount': 83, 'datasetCount': 4378, 'scriptCount': 8462, 'totalCount': 12923}]",[],[]
7,Data-set for practicing Linear Regression,Tanu N Prabhu,tanuprabhu,1425.0,https://www.kaggle.com/datasets/tanuprabhu/linear-regression-dataset,Data files © Original Authors,,Tanu N Prabhu,tanuprabhu,Linear Regression Data-set,1,1.0,239789,tanuprabhu/linear-regression-dataset,Data-set for practicing Linear Regression,True,Tanu N Prabhu,True,tanuprabhu,True,1425,True,https://www.kaggle.com/datasets/tanuprabhu/linear-regression-dataset,True,2019-06-21T05:57:12.357Z,18247,False,False,Data files © Original Authors,True,,False,Tanu N Prabhu,True,tanuprabhu,True,98,Linear Regression Data-set,True,0,145596,141,1,True,1.0,True,"[{'nameNullable': 'earth and nature', 'descriptionNullable': None, 'fullPathNullable': 'subject > earth and nature', 'ref': 'earth and nature', 'name': 'earth and nature', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'subject > earth and nature', 'hasFullPath': True, 'competitionCount': 11, 'datasetCount': 58697, 'scriptCount': 356, 'totalCount': 59064}, {'nameNullable': 'linear regression', 'descriptionNullable': None, 'fullPathNullable': 'task > linear regression', 'ref': 'linear regression', 'name': 'linear regression', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'task > linear regression', 'hasFullPath': True, 'competitionCount': 8, 'datasetCount': 782, 'scriptCount': 5706, 'totalCount': 6496}]",[],[]
8,"Salaries of Data Scientists, ML Engineers, Data Analysts, Data Engineers in 2022",Sourav Banerjee,iamsouravbanerjee,121706.0,https://www.kaggle.com/datasets/iamsouravbanerjee/analytics-industry-salaries-2022-india,Other (specified in description),,Sourav Banerjee,iamsouravbanerjee,Data Professionals Salary - 2022,14,1.0,1844140,iamsouravbanerjee/analytics-industry-salaries-2022-india,"Salaries of Data Scientists, ML Engineers, Data Analysts, Data Engineers in 2022",True,Sourav Banerjee,True,iamsouravbanerjee,True,121706,True,https://www.kaggle.com/datasets/iamsouravbanerjee/analytics-industry-salaries-2022-india,True,2022-07-17T11:28:56.467Z,15229,False,False,Other (specified in description),True,,False,Sourav Banerjee,True,iamsouravbanerjee,True,62,Data Professionals Salary - 2022,True,0,94951,278,14,True,1.0,True,"[{'nameNullable': 'business', 'descriptionNullable': 'Businesses are organizational entities that drive economic activity. Explore the inner workings of things like HR practices, product sales, and customer happiness in these competitions, kernels, and datasets.', 'fullPathNullable': 'subject > people and society > business', 'ref': 'business', 'name': 'business', 'hasName': True, 'description': 'Businesses are organizational entities that drive economic activity. Explore the inner workings of things like HR practices, product sales, and customer happiness in these competitions, kernels, and datasets.', 'hasDescription': True, 'fullPath': 'subject > people and society > business', 'hasFullPath': True, 'competitionCount': 33, 'datasetCount': 92487, 'scriptCount': 25484, 'totalCount': 118004}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'beginner', 'descriptionNullable': 'New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers.', 'fullPathNullable': 'audience > beginner', 'ref': 'beginner', 'name': 'beginner', 'hasName': True, 'description': 'New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers.', 'hasDescription': True, 'fullPath': 'audience > beginner', 'hasFullPath': True, 'competitionCount': 12628, 'datasetCount': 7852, 'scriptCount': 41540, 'totalCount': 62020}, {'nameNullable': 'data analytics', 'descriptionNullable': None, 'fullPathNullable': 'technique > data analytics', 'ref': 'data analytics', 'name': 'data analytics', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > data analytics', 'hasFullPath': True, 'competitionCount': 22, 'datasetCount': 7641, 'scriptCount': 13898, 'totalCount': 21561}, {'nameNullable': 'tabular', 'descriptionNullable': None, 'fullPathNullable': 'data type > tabular', 'ref': 'tabular', 'name': 'tabular', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'data type > tabular', 'hasFullPath': True, 'competitionCount': 13262, 'datasetCount': 11263, 'scriptCount': 7003, 'totalCount': 31528}, {'nameNullable': 'currencies and foreign exchange', 'descriptionNullable': None, 'fullPathNullable': 'subject > people and society > business > finance > currencies and foreign exchange', 'ref': 'currencies and foreign exchange', 'name': 'currencies and foreign exchange', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'subject > people and society > business > finance > currencies and foreign exchange', 'hasFullPath': True, 'competitionCount': 2, 'datasetCount': 5991, 'scriptCount': 2000, 'totalCount': 7993}]",[],[]
9,A list of Top Computer Science Conference and Ranking,Azmine Toushik Wasi,azminetoushikwasi,43875.0,https://www.kaggle.com/datasets/azminetoushikwasi/top-computer-science-conference-and-ranking,Apache 2.0,,Azmine Toushik Wasi,azminetoushikwasi,Computer Science Conferences and Ranking |  2023,1,1.0,4329842,azminetoushikwasi/top-computer-science-conference-and-ranking,A list of Top Computer Science Conference and Ranking,True,Azmine Toushik Wasi,True,azminetoushikwasi,True,43875,True,https://www.kaggle.com/datasets/azminetoushikwasi/top-computer-science-conference-and-ranking,True,2024-01-20T06:38:22.763Z,87,False,False,Apache 2.0,True,,False,Azmine Toushik Wasi,True,azminetoushikwasi,True,1,Computer Science Conferences and Ranking |  2023,True,0,719,10,1,True,1.0,True,"[{'nameNullable': 'research', 'descriptionNullable': ""Research is our endeavor to systematically increase our knowledge about the world. Whether it's undertaken by greats like Einstein or underpaid graduate students, you'll find the fruits of their labor in this tag plus the kernels that make their work reproducible."", 'fullPathNullable': 'subject > science and technology > research', 'ref': 'research', 'name': 'research', 'hasName': True, 'description': ""Research is our endeavor to systematically increase our knowledge about the world. Whether it's undertaken by greats like Einstein or underpaid graduate students, you'll find the fruits of their labor in this tag plus the kernels that make their work reproducible."", 'hasDescription': True, 'fullPath': 'subject > science and technology > research', 'hasFullPath': True, 'competitionCount': 15, 'datasetCount': 953, 'scriptCount': 414, 'totalCount': 1382}, {'nameNullable': 'education', 'descriptionNullable': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'fullPathNullable': 'subject > people and society > education', 'ref': 'education', 'name': 'education', 'hasName': True, 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'hasDescription': True, 'fullPath': 'subject > people and society > education', 'hasFullPath': True, 'competitionCount': 37, 'datasetCount': 28789, 'scriptCount': 14937, 'totalCount': 43763}, {'nameNullable': 'science and technology', 'descriptionNullable': None, 'fullPathNullable': 'subject > science and technology', 'ref': 'science and technology', 'name': 'science and technology', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'subject > science and technology', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 3560, 'scriptCount': 1567, 'totalCount': 5134}, {'nameNullable': 'computer science', 'descriptionNullable': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'fullPathNullable': 'subject > science and technology > computer science', 'ref': 'computer science', 'name': 'computer science', 'hasName': True, 'description': 'There is one thing we can say for sure about computer science: Computer science leads to more computer games which leads to better GPUs which leads to smarter AI.', 'hasDescription': True, 'fullPath': 'subject > science and technology > computer science', 'hasFullPath': True, 'competitionCount': 7, 'datasetCount': 45261, 'scriptCount': 598, 'totalCount': 45866}, {'nameNullable': 'exploratory data analysis', 'descriptionNullable': None, 'fullPathNullable': 'technique > exploratory data analysis', 'ref': 'exploratory data analysis', 'name': 'exploratory data analysis', 'hasName': True, 'description': '', 'hasDescription': False, 'fullPath': 'technique > exploratory data analysis', 'hasFullPath': True, 'competitionCount': 14, 'datasetCount': 4812, 'scriptCount': 32037, 'totalCount': 36863}]",[],[]
